ID,title,description,streetaddress,lon,lat,geoAddress,city,state,amenityfeatures,type,Year,notes,dateadded,lastmodified,full.address,status
326,Canal & 'K' Sts. N.W.,,,-77.037293,38.902422,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1979,Pin placed on K St.,2/24/2020 5:41pm,2/26/2020 4:32pm,", District of Columbia",Verified Location
343,Canal & 'K' Sts. N.W.,,,-77.037293,38.902422,unclear_coded_by_hand,Washington,District of Columbia,"Cruisy Area,(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz",Cruising Areas,1980,Pin placed on K St.,2/24/2020 5:41pm,2/26/2020 4:32pm,", District of Columbia",Verified Location
250,Canal & 'K' Sts. N.W.,,,-77.037293,38.902422,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1974,Pin placed on K St.,2/24/2020 5:41pm,2/26/2020 4:32pm,", District of Columbia",Verified Location
263,Canal & 'K' Sts. N.W.,,,-77.037293,38.902422,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1975,Pin placed on K St.,2/24/2020 5:41pm,2/26/2020 4:32pm,", District of Columbia",Verified Location
230,Cap 'n' Guy's,,1212 New York Ave. NW,-77.0288013,38.9001057,"1212 new york ave nw, washington, dc 20002, usa",Washington,District of Columbia,"(M) - Mixed Crowds - Some Straights,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,1975,NA,2/16/2020 6:33pm,2/17/2020 1:06am,"1212 New York Ave. NW, District of Columbia",Google Verified Location
184,Cap 'n' Guy's,,1212 New York Ave. NW,-77.0288013,38.9001057,"1212 new york ave nw, washington, dc 20002, usa",Washington,District of Columbia,"(M) - Mixed Crowds - Some Straights,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,1974,NA,2/16/2020 5:59pm,2/17/2020 1:06am,"1212 New York Ave. NW, District of Columbia",Google Verified Location
31,Cap 'n' Guys,,1212 New York Ave NW,-77.0288013,38.9001057,"1212 new york ave nw, washington, dc 20002, usa",Washington,District of Columbia,"(M) - Mixed Crowds - Some Straights,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,1968,NA,2/16/2020 1:42pm,2/17/2020 1:06am,"1212 New York Ave NW, District of Columbia",Google Verified Location
15,Cap 'n' Guys,,1212 New York Ave NW,-77.0288013,38.9001057,"1212 new york ave nw, washington, dc 20002, usa",Washington,District of Columbia,(RT) - 'Raunchy types' - downtown type places - often hustlers,Bars/Clubs,1966,NA,2/16/2020 1:41pm,2/17/2020 1:06am,"1212 New York Ave NW, District of Columbia",Google Verified Location
283,Cap 'n' Guys,,1212 New York Ave. NW,-77.0288013,38.9001057,"1212 new york ave nw, washington, dc 20002, usa",Washington,District of Columbia,"(M) - Mixed Crowds - Some Straights,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,1976,NA,2/17/2020 12:53am,2/17/2020 1:29am,"1212 New York Ave. NW, District of Columbia",Google Verified Location
1,Cap N' Guy's,,1212 New York Ave NW,-77.0288013,38.9001057,"1212 new york ave nw, washington, dc 20002, usa",Washington,District of Columbia,(RT) - 'Raunchy types' - downtown type places - often hustlers,Bars/Clubs,1965,NA,2/16/2020 1:41pm,2/17/2020 1:06am,"1212 New York Ave NW, District of Columbia",Google Verified Location
49,Cap n' Guys,,1212 New York Ave NW,-77.0288013,38.9001057,"1212 new york ave nw, washington, dc 20002, usa",Washington,District of Columbia,"(M) - Mixed Crowds - Some Straights,(RT) - 'Raunchy types' - downtown type places - often hustlers,(*) - Very popular",Bars/Clubs,1969,NA,2/16/2020 1:42pm,2/17/2020 1:06am,"1212 New York Ave NW, District of Columbia",Google Verified Location
327,Capitol Hill,"Hitch-hikers bet. 6th & 9th on Pennsylvania
",,-76.996525,38.884444,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1979,Pin placed between 6th and 9th St.,2/24/2020 5:41pm,2/26/2020 4:33pm,", District of Columbia",Verified Location
294,Capitol Hill,"Hitch-hikers bet. 6th & 9th on Pennsylvania
",,-76.996525,38.884444,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1977,Pin placed between 6th and 9th St.,2/24/2020 5:41pm,2/26/2020 4:33pm,", District of Columbia",Verified Location
264,Capitol Hill,"Hitch-hikers bet. 6th & 9th on Pennsylvania
",,-76.996525,38.884444,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1975,Pin placed between 6th and 9th St.,2/24/2020 5:41pm,2/26/2020 4:33pm,", District of Columbia",Verified Location
238,Capitol Hill,"Hitch-hikers bet. 6th & 9th on Pennsylvania
",,-76.996525,38.884444,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1973,Pin placed between 6th and 9th St.,2/24/2020 5:41pm,2/26/2020 4:33pm,", District of Columbia",Verified Location
280,Capitol Hill,"Hitch-hikers bet. 6th & 9th on Pennsylvania
",,-76.996525,38.884444,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1976,Pin placed between 6th and 9th St.,2/24/2020 5:41pm,2/26/2020 4:33pm,", District of Columbia",Verified Location
311,Capitol Hill,"Hitch-hikers bet. 6th & 9th on Pennsylvania
",,-76.996525,38.884444,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1978,Pin placed between 6th and 9th St.,2/24/2020 5:41pm,2/26/2020 4:33pm,", District of Columbia",Verified Location
