ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
1,Pasquale's Pizza,(no booze),174 E. Magnolia,Auburn,AL,"(M) - Mixed or partially straight,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,11/11/2019 7:27am,11/11/2019 7:28am
2,Pete's,,816 Opalika Road,Auburn,AL,(M) - Mixed or partially straight,Bars/Clubs,,,11/11/2019 7:28am,11/11/2019 7:36am
3,Chances R Lounge,,208 N. 23rd St.,Birmingham,AL,"(D) - Dancing,(S) - Shows . . . impersonators or record pantomime acts . . . often touristy",Bars/Clubs,,,11/11/2019 7:28am,11/11/2019 7:36am
4,Gizmo,,909 S. 22nd St.,Birmingham,AL,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,11/11/2019 7:28am,11/11/2019 7:36am
5,Golden Torch,(may be closing),"1915 5th Ave, N.",Birmingham,AL,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",""(RT) - 'Raunchy types' - Hustlers, drags and other downtown type places - often hustlers"",""(G) - Girls, but seldom exclusively"",(B) - Blacks frequent,(D) - Dancing,(*) - Very popular","Restaurant,Bars/Clubs",,,11/11/2019 7:28am,11/11/2019 7:36am
6,Mammy's Pancake House,(Mrs.Todd's),2151 Highland Ave S.,Birmingham,AL,"(M) - Mixed or partially straight,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",""(C) - Coffee, soft drinks and sometimes snacks""",Restaurant,,,11/11/2019 7:28am,11/11/2019 7:36am
7,Matador,,2018 N. 22nd St.,Birmingham,AL,(D) - Dancing,Bars/Clubs,,,11/11/2019 7:28am,11/11/2019 7:36am
8,Odds 'n' Ends,(some G),1331 3rd Ave N.,Birmingham,AL,"(D) - Dancing,""(G) - Girls, but seldom exclusively""",Bars/Clubs,,,11/11/2019 7:28am,11/11/2019 7:36am
12,Why Not Eat Here Cafe,,220 Moulton St.,Decatur,AL,(M) - Mixed or partially straight,Restaurant,,,11/11/2019 7:28am,11/11/2019 7:36am
13,Upstairs Bar,Heart of Dothan Motel,314 N. Foster,Dothan,AL,(M) - Mixed or partially straight,"Hotels,Bars/Clubs",,,11/11/2019 7:28am,11/11/2019 7:36am
14,Pitt Grill ,(Late),400 E. Tennessee,Florence,AL,"(M) - Mixed or partially straight,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",""(C) - Coffee, soft drinks and sometimes snacks""",Restaurant,,,11/11/2019 7:28am,11/11/2019 7:35am
16,Escape Lounge,(Unfriendly management),1313 Memorial Parkway,Huntsville,AL,(M) - Mixed or partially straight,Bars/Clubs,,,11/11/2019 7:28am,11/11/2019 7:35am
