ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
184,New Yorker,,Westheimer near Montrose,Houston,TX,"(D) - Dancing,(P) - Private club - Inquire locally to admission",Bars/Clubs,checked,,8/23/2019 3:36am,8/23/2019 3:56am
185,Nugget,,2802 Austin,Houston,TX,"(S) - Shows - impersonators or record pantomime acts - often touristy,(*) - Very popular",Bars/Clubs,,,8/23/2019 3:36am,8/23/2019 3:56am
186,Pink Elephant,,1218 Leland,Houston,TX,(RT) - 'Raunchy types' - downtown type places - often hustlers,Bars/Clubs,,,8/23/2019 3:36am,8/23/2019 3:56am
187,Plantation Club,,on W Gray,Houston,TX,(D) - Dancing,Bars/Clubs,checked,,8/23/2019 3:36am,8/23/2019 3:56am
188,Red Room,(Very popular Friday evenings),612 Hadley,Houston,TX,(*) - Very popular,Bars/Clubs,,,8/23/2019 3:36am,8/23/2019 3:56am
189,Round Table,,507 Westheimer,Houston,TX,,Bars/Clubs,,,8/23/2019 3:36am,8/23/2019 3:56am
190,Seagull,(formerly The Numbers),1003 California,Houston,TX,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,8/23/2019 3:36am,8/23/2019 3:55am
191,Showboat,,1104 Tuam,Houston,TX,,Bars/Clubs,,,8/23/2019 3:36am,8/23/2019 3:56am
192,Stadium,,2417 Times,Houston,TX,,Bars/Clubs,,,8/23/2019 3:36am,8/23/2019 3:56am
193,Surf,,2909 Main,Houston,TX,,Bars/Clubs,,,8/23/2019 3:36am,8/23/2019 3:56am
194,Upstairs Club,(also coffee after  hours),2421 Times,Houston,TX,"(P) - Private club - Inquire locally to admission,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,8/23/2019 3:36am,8/23/2019 3:56am
195,Regency III Country Club,off Hwy 59,15312 Lee Rd ,Humble,TX,,Bars/Clubs,,,8/23/2019 3:36am,8/23/2019 3:56am
196,Budda Lounge,,2315 San Pedro,San Antonio,TX,,Bars/Clubs,,,8/23/2019 3:36am,8/23/2019 4:01am
197,Cork Room,,411 N St. Mary's,San Antonio,TX,(*) - Very popular,Bars/Clubs,,,8/23/2019 3:36am,8/23/2019 4:01am
198,El Jardin,,106 Navarro,San Antonio,TX,(*) - Very popular,Bars/Clubs,,,8/23/2019 3:36am,8/23/2019 4:01am
199,Marine Room,,721 Navarro,San Antonio,TX,(RT) - 'Raunchy types' - downtown type places - often hustlers,Bars/Clubs,,,8/23/2019 3:36am,8/23/2019 4:01am
200,Paul's Grove,(The 'Country' W-F-S-S only) about 25 miles NW near Helotes,,San Antonio,TX,"(D) - Dancing,(P) - Private club - Inquire locally to admission",Bars/Clubs,checked,,8/23/2019 3:49am,8/23/2019 4:01am
201,Ponderosa,,W on Sterling Hwy,San Antonio,TX,(RT) - 'Raunchy types' - downtown type places - often hustlers,Bars/Clubs,checked,,8/23/2019 3:49am,8/23/2019 4:01am
202,Top Hat,,210 S New Braunfels,San Antonio,TX,,Bars/Clubs,,,8/23/2019 3:49am,8/23/2019 4:01am
203,Blue Lounge,Piano bar,1016 Scott ,Wichita Falls,TX,(M) - Mixed Crowds,Bars/Clubs,,,8/23/2019 3:49am,8/23/2019 4:01am
204,Office,,800 Travis,Wichita Falls,TX,(*) - Very popular,Bars/Clubs,,,8/23/2019 3:56am,8/23/2019 4:01am
205,Continental,,111 W Tazewell,Norfolk,VA,(*) - Very popular,Bars/Clubs,,,8/23/2019 3:56am,8/23/2019 4:01am
206,Eton's,,938 Grace St. ,Richmond,VA,(*) - Very popular,Bars/Clubs,,,8/23/2019 3:56am,8/23/2019 4:01am
207,Rene's,,206 N 8th St,Richmond,VA,(*) - Very popular,Bars/Clubs,,,8/23/2019 3:58am,8/23/2019 4:01am
208,Craig's,,2101 Atlantic,Virginia Beach,VA,(*) - Very popular,Bars/Clubs,,,8/23/2019 3:58am,8/23/2019 4:01am
209,Hotel Waverly,,22nd & Ocean,Virginia Beach,VA,"""(H) - Hotel, motel, or other overnight accomodations""",Hotels,,,8/23/2019 3:58am,8/23/2019 4:01am
210,Sherwood's,,2105 Atlantic,Virginia Beach,VA,,Bars/Clubs,,,8/23/2019 3:58am,8/23/2019 4:01am
211,,,,,,,,,,8/23/2019 3:58am,
212,,,,,,,,,,8/23/2019 3:58am,
213,,,,,,,,,,8/23/2019 3:58am,
214,,,,,,,,,,8/23/2019 3:58am,
215,,,,,,,,,,8/23/2019 3:58am,
