ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified,Year
141,Fire Pit,,1915 5th Avenue North,Birmingham,AL,(*) - Very popular,Bars/Clubs,,,8/12/2019 8:29am,9/7/2019 11:22am,1966
143,Mammy's Pancake House,,2151 Highland Ave S.,Birmingham,AL,"""(C) - Coffee, soft drinks and sometimes snacks""",Restaurant,,,8/12/2019 8:30am,9/7/2019 11:32am,1966
144,Rathskeller,,400-1/2 North 20th Street,Birmingham,AL,,Bars/Clubs,,,8/12/2019 8:30am,9/7/2019 11:22am,1966
145,Red Room ,Redmont Hotel,2101 5th Avenue North,Birmingham,AL,,"Bars/Clubs,Hotels",,,8/12/2019 8:30am,9/7/2019 11:22am,1966
146,Club Royal,,78 S Royal,Mobile,AL,(M) - Mixed Crowds,Bars/Clubs,,,8/12/2019 8:30am,9/7/2019 11:22am,1966
147,Flamingo Room,Mobile Steak House,170 S. St. Francis Street,Mobile,AL,(*) - Very popular,Restaurant,,,8/12/2019 8:30am,9/7/2019 11:22am,1966
148,Key Hole,,80 Commerce St,Montgomery,AL,,Bars/Clubs,,,8/12/2019 8:30am,9/7/2019 11:22am,1966
150,Mollie's,,360 Central Ave,Hot Springs,AR,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",(M) - Mixed Crowds",Restaurant,,,8/12/2019 8:30am,9/7/2019 11:22am,1966
151,Peacock Lounge,,220 Central Ave,Hot Springs,AR,,Bars/Clubs,,,8/12/2019 8:30am,9/7/2019 11:22am,1966
152,Brown Jug,,111 E. 13th St,Little Rock,AR,(*) - Very popular,Bars/Clubs,,,8/12/2019 8:30am,9/7/2019 11:22am,1966
153,Blue Room,,86 Cain NW,Atlanta,GA,"(*) - Very popular,(PE) - Pretty elegant - jacket & tie may be required",Bars/Clubs,,,8/12/2019 8:30am,9/7/2019 11:22am,1966
154,Cameo Lounge,,182 Spring NW,Atlanta,GA,"(RT) - 'Raunchy types' - downtown type places - often hustlers,(PE) - Pretty elegant - jacket & tie may be required",Bars/Clubs,,,8/12/2019 8:30am,9/7/2019 11:22am,1966
155,Mrs P's,(casual dress ok),551 Ponce de Leon NE,Atlanta,GA,(*) - Very popular,Bars/Clubs,,,8/12/2019 8:30am,9/7/2019 11:22am,1966
157,Piccolo,,1129 Peachtree,Atlanta,GA,"(*) - Very popular,(PE) - Pretty elegant - jacket & tie may be required",Bars/Clubs,,,8/12/2019 8:30am,9/7/2019 11:22am,1966
158,Rebel Room,,1001 Green St,Augusta,GA,,Bars/Clubs,,,8/12/2019 8:30am,9/7/2019 11:22am,1966
159,Checkmate,,1301 1st Avenue,Columbus,GA,(M) - Mixed Crowds,Bars/Clubs,,,8/12/2019 8:30am,9/7/2019 11:22am,1966
160,Ann's Tic Toc,,408 Broadway,Macon,GA,(*) - Very popular,Bars/Clubs,,,8/12/2019 8:30am,9/7/2019 11:22am,1966
161,Colonial Gardens,,115 Abercorn,Savannah,GA,(M) - Mixed Crowds,Bars/Clubs,,,8/12/2019 8:40am,9/7/2019 11:22am,1966
162,De Soto Hotel Bar,,15 E. Liberty,Savannah,GA,(M) - Mixed Crowds,"Bars/Clubs,Hotels",,,8/12/2019 8:40am,9/7/2019 11:22am,1966
163,Pirates's Cove,"(bar only)
",82 E. Broad,Savannah,GA,(M) - Mixed Crowds,Bars/Clubs,,,8/12/2019 8:40am,9/7/2019 11:22am,1966
164,Port Royal,,207 E. River St. ,Savannah,GA,(M) - Mixed Crowds,Bars/Clubs,,,8/12/2019 8:40am,9/7/2019 11:22am,1966
166,Red Devil,,4065 Florida ,Baton Rouge,LA,,Bars/Clubs,,,8/13/2019 7:32am,9/7/2019 11:22am,1966
167,Le Cabrie,,206 E. Vermillion,Lafayette,LA,,Bars/Clubs,,,8/13/2019 7:32am,9/7/2019 11:22am,1966
168,Canal St. Baths,,512 Gravier,New Orleans,LA,,Baths,,,8/13/2019 7:32am,9/7/2019 11:22am,1966
169,Dixie's Bar of Music,,701 Bourbon,New Orleans,LA,,Bars/Clubs,,,8/13/2019 7:32am,9/7/2019 11:22am,1966
170,Galley House,,542 Chartres,New Orleans,LA,(*) - Very popular,Bars/Clubs,,,8/13/2019 7:32am,9/7/2019 11:22am,1966
171,Gaslight,,800 N. Rampart,New Orleans,LA,,Bars/Clubs,,,8/13/2019 7:32am,9/7/2019 11:22am,1966
172,Geneo Bar,,1210 N. Rampart,New Orleans,LA,"""(G) - Girls, but seldom exclusively""",Bars/Clubs,,,8/13/2019 7:32am,9/7/2019 11:22am,1966
173,Lafitte's ,,901 Bourbon St.,New Orleans,LA,(*) - Very popular,Bars/Clubs,,,8/13/2019 7:32am,9/7/2019 11:22am,1966
174,La Place,,1624 Louisiana,New Orleans,LA,,Bars/Clubs,,,8/13/2019 7:32am,9/7/2019 11:22am,1966
175,Mr D's,,600 Dauphine,New Orleans,LA,"""(G) - Girls, but seldom exclusively""",Bars/Clubs,,,8/13/2019 7:32am,9/7/2019 11:22am,1966
176,Regent's Row,,740 Burgundy St.,New Orleans,LA,(*) - Very popular,Bars/Clubs,,,8/13/2019 7:32am,9/7/2019 11:22am,1966
