ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
3,Pete's,,816 Opalika Rd,Auburn,AL,(M) - Mixed or partially straight,Bars/Clubs,,,10/25/2019 8:58am,11/10/2019 1:29pm
4,Chances R Lounge,"

",208 N. 23rd St. ,Birmingham,AL,"(D) - Dancing,(S) - Shows . . . impersonators or record pantomime acts . . . often touristy",Bars/Clubs,,,10/25/2019 8:58am,11/10/2019 1:29pm
5,Coming Attractions,,318 S. 14th St. ,Birmingham,AL,,Bars/Clubs,,,10/25/2019 8:58am,11/10/2019 1:29pm
8,Matador,,208 N. 22nd St.,Birmingham,AL,,Bars/Clubs,,,10/25/2019 8:58am,11/10/2019 1:30pm
6,Gizmo,,909 S. 22nd St.,Birmingham,AL,,Bars/Clubs,,,10/25/2019 8:58am,11/10/2019 1:29pm
13,Upstairs Bar,"Heart of Dothan Motel
",314 N. Foster,Dothan,AL,(M) - Mixed or partially straight,"Bars/Clubs,Hotels",,,10/25/2019 8:58am,12/15/2019 4:52pm
17,Jet Star,,3413 S. Memorial Parkway,Huntsville,AL,(*) - Very popular,Bars/Clubs,,,10/25/2019 8:58am,11/10/2019 1:30pm
16,Escape Lounge,(unfriendly management),1313 Memorial Parkway,Huntsville,AL,(M) - Mixed or partially straight,Bars/Clubs,,,10/25/2019 8:58am,11/10/2019 1:30pm
20,Goldenrod Social Club,,155 Government St.,Mobile,AL,"(YC) - Young and/or collegiate types,""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours,(WE) - Weekends,(*) - Very popular",Bars/Clubs,,,10/25/2019 8:58am,11/10/2019 1:38pm
22,Princess House Lounge,,254 Government St. ,Mobile,AL,"(M) - Mixed or partially straight,""(RT) - 'Raunchy types' - Hustlers, drags and other downtown type places - often hustlers"",(B) - Blacks frequent,""(G) - Girls/Ms, but seldom exclusively"",(S) - Shows . . . impersonators or record pantomime acts . . . often touristy",Bars/Clubs,,,10/25/2019 8:58am,11/10/2019 1:38pm
19,Fireside,,54 S. Conception,Mobile,AL,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,10/25/2019 8:58am,11/10/2019 1:38pm
26,Chucker's,,2121 6th St.,Tuscaloosa,AL,"(M) - Mixed or partially straight,(YC) - Young and/or collegiate types",Bars/Clubs,,,10/25/2019 8:58am,11/6/2019 5:57am
30,George's Lounge,,519 W. Dickson,Fayetteville,AR,"(M) - Mixed or partially straight,(YC) - Young and/or collegiate types,(*) - Very popular",Bars/Clubs,,,10/25/2019 8:58am,11/6/2019 6:01am
34,Peacock Lounge,,220 Central Ave,Hot Springs,AR,,Bars/Clubs,,,10/25/2019 8:58am,11/6/2019 6:01am
35,Royal Lion Club,(Open Th-F-Sat only) ,236 Quachita ,Hot Springs,AR,"(P) - Private club - Inquire locally to admission,(D) - Dancing,""(G) - Girls/Ms, but seldom exclusively""",Bars/Clubs,,,10/25/2019 8:58am,11/6/2019 6:01am
44,Our Place,,4430 N. Banana River Rd,Cocoa Beach,FL,,Bars/Clubs,,,10/25/2019 8:58am,11/6/2019 6:05am
42,New State Bar,,16 S. Garden Ave.,Clearwater,FL,,Bars/Clubs,,,10/25/2019 8:58am,11/6/2019 6:05am
41,Drop in Lounge,,2915 Gulf-to-Bay Blvd,Clearwater,FL,(*) - Very popular,Bars/Clubs,,,10/25/2019 8:58am,11/6/2019 6:05am
